# timestamp workers_connected workers_init workers_idle workers_busy workers_able workers_joined workers_removed workers_released workers_idled_out workers_blocked workers_fast_aborted workers_lost tasks_waiting tasks_on_workers tasks_running tasks_with_results tasks_submitted tasks_dispatched tasks_done tasks_failed tasks_cancelled tasks_exhausted_attempts time_send time_receive time_send_good time_receive_good time_status_msgs time_internal time_polling time_application time_execute time_execute_good time_execute_exhaustion bytes_sent bytes_received bandwidth capacity_tasks capacity_cores capacity_memory capacity_disk capacity_instantaneous capacity_weighted manager_load total_cores total_memory total_disk committed_cores committed_memory committed_disk max_cores max_memory max_disk min_cores min_memory min_disk
1709261670644129 0 0 0 0 0 0 0 0 0 0 0 0 100 0 0 0 100 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0.000000 0 0 0 0 0 0 0 0 0 0 0 0
1709261938923106 1 0 0 1 1 1 0 0 0 0 0 0 99 1 0 0 100 0 0 0 0 0 35122 3940 0 0 143622 25749 268044875 36419 0 0 0 133467 0 1.000000 10 10 5120 10240 10 10 0.487179 1 1024 36474 0 0 0 1 1024 36474 0 0 0
1709261945071424 5 0 0 5 5 5 0 0 0 0 0 0 94 5 5 1 100 6 1 0 0 0 206131 29430 0 24863 383149 27841 273687360 37127 8200417 2404883 0 669670 120945 1.000000 10 10 5120 10240 10 10 0.493587 5 7168 131278 5 7168 131278 1 2048 36474 0 0 0
1709261950269841 5 0 0 5 5 5 0 0 0 0 0 0 87 5 5 1 100 13 8 0 0 0 263368 940931 0 935602 627909 28692 277670008 38633 25806454 21083962 0 686013 1110597 1.422720 10 10 14629 279446 6 19 0.504223 5 7168 131278 5 7168 131278 1 2048 36474 0 0 0
1709261956212954 5 0 0 5 5 5 0 0 0 0 0 0 83 5 5 1 100 17 12 0 0 0 306972 1231665 0 1225736 720410 29331 283184069 39765 37106295 31565215 0 695353 1685406 1.475636 12 12 18991 345227 53 28 0.506832 5 7168 131278 5 7168 131278 1 2048 36474 0 0 0
1709261961573451 5 0 0 5 5 5 0 0 0 0 0 0 82 5 5 0 100 18 13 0 0 0 330380 1495692 0 1489592 786405 29650 288256181 39957 37106295 37106295 0 697688 1841799 1.326259 13 13 21078 373298 50 31 0.508965 5 7168 131278 5 7168 131278 1 2048 36474 0 0 0
1709261967992583 5 0 0 5 5 5 0 0 0 0 0 0 81 5 5 0 100 19 14 0 0 0 357560 1760801 0 1754489 852317 29941 294316179 40255 43117069 43117069 0 700021 2032347 1.230097 13 13 20480 381056 14 31 0.509905 5 7168 131278 5 7168 131278 1 2048 36474 0 0 0
1709261973620894 5 0 0 5 5 5 0 0 0 0 0 0 80 5 5 0 100 20 15 0 0 0 382863 2024157 0 2017654 918499 34011 299584706 40791 48280050 48280050 0 702356 2163699 1.135546 13 13 19525 393471 13 31 0.510318 5 7168 131278 5 7168 131278 1 2048 36474 0 0 0
1709261979965655 5 0 0 5 5 5 0 0 0 0 0 0 79 5 5 0 100 21 16 0 0 0 405808 2294864 0 2287991 986394 34276 305566830 41302 54217602 54217602 0 704691 2314492 1.066148 13 13 19525 393471 13 31 0.510500 5 7168 131278 5 7168 131278 1 2048 36474 0 0 0
1709261985051677 5 0 0 5 5 5 0 0 0 0 0 0 78 5 5 0 100 22 17 0 0 0 423682 2559642 0 2552597 1052601 34531 310299976 44763 59901847 59901847 0 707026 2449968 1.009191 13 13 19136 398514 13 31 0.510338 5 7168 131278 5 7168 131278 1 2048 36474 0 0 0
1709262040051149 5 0 0 5 5 5 0 0 0 0 0 0 78 5 5 1 100 22 17 0 0 0 603258 2560345 0 2552597 1053182 45522 365095609 46159 144812925 59901847 0 707026 2449968 0.951682 13 13 18794 402964 15 31 0.512811 5 7168 131278 5 7168 131278 1 2048 36474 0 0 0
1709262046051399 5 0 0 5 5 5 0 0 0 0 0 0 75 5 5 1 100 25 20 0 0 0 634833 2615855 0 2607695 1079522 46203 370977585 49651 150686566 148801686 0 714029 8227998 2.623377 31 31 46781 951537 71 99 0.509031 5 7168 131278 5 7168 131278 1 2048 36474 0 0 0
1709262054896014 5 0 0 5 5 5 0 0 0 0 0 0 72 5 5 0 100 28 23 0 0 0 675688 2642808 0 2634290 1106668 46642 379734474 50164 154425494 154425494 0 721034 8671477 2.699234 32 32 50642 971014 62 94 0.509522 5 7168 131278 5 7168 131278 1 2048 36474 0 0 0
1709262141298589 6 0 0 6 6 6 0 0 0 0 0 0 71 6 5 0 100 28 23 0 0 0 1010905 2643981 0 2634290 1120941 53806 465766921 53234 154425494 154425494 0 854501 8671477 2.485626 32 32 51290 967925 62 92 0.487179 6 9216 158670 5 7168 131278 1 2048 36474 0 0 0
1709262147059902 7 0 0 7 7 7 0 0 0 0 0 0 69 7 7 1 100 31 24 0 0 0 1104366 2669593 0 2659628 1264879 54373 471263603 53901 160110562 157972387 0 990303 8856392 2.488246 32 32 51290 967925 62 90 0.498900 7 10240 160076 7 10240 160076 1 2048 36474 0 0 0
1709262154419208 7 0 0 7 7 7 0 0 0 0 0 0 65 7 7 1 100 35 28 0 0 0 1159502 2964522 0 2954025 1353545 60519 478176830 54630 172278429 169687190 0 999643 9418892 2.409270 30 30 48925 865865 111 88 0.506592 7 10240 160076 7 10240 160076 1 2048 36474 0 0 0
1709262161406424 7 0 0 7 7 7 0 0 0 0 0 0 63 7 7 1 100 37 30 0 0 0 1199655 2978420 0 2967676 1367188 60900 485095401 54954 179214742 175067932 0 1004313 9766159 2.458434 31 31 51448 891584 98 91 0.508842 7 10240 160076 7 10240 160076 1 2048 36474 0 0 0
