# timestamp workers_connected workers_init workers_idle workers_busy workers_able workers_joined workers_removed workers_released workers_idled_out workers_blocked workers_fast_aborted workers_lost tasks_waiting tasks_on_workers tasks_running tasks_with_results tasks_submitted tasks_dispatched tasks_done tasks_failed tasks_cancelled tasks_exhausted_attempts time_send time_receive time_send_good time_receive_good time_status_msgs time_internal time_polling time_application time_execute time_execute_good time_execute_exhaustion bytes_sent bytes_received bandwidth capacity_tasks capacity_cores capacity_memory capacity_disk capacity_instantaneous capacity_weighted manager_load total_cores total_memory total_disk committed_cores committed_memory committed_disk max_cores max_memory max_disk min_cores min_memory min_disk
1709861935812870 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0.000000 0 0 0 0 0 0 0 0 0 0 0 0
1709861975610199 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 16 0 0 0 0 0 4490 182 0 0 201107 3917 39584812 9966 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0.505177 0 0 0 0 0 0 0 0 0 0 0 0
1709861980705476 1 0 0 1 1 1 0 0 0 0 0 0 15 1 1 1 16 1 0 0 0 0 13381 221 0 0 201417 4052 44569750 10202 4488557 0 0 133467 0 1.000000 10 10 5120 10240 10 10 0.497819 1 8192 4317 1 8192 4317 1 8192 4317 0 0 0
1709861985827686 3 0 0 3 3 3 0 0 0 0 0 0 13 3 3 1 17 4 1 0 0 0 38737 402557 0 402232 381771 4221 49164217 10481 6668391 4488557 0 533868 137394 1.000000 10 10 5120 10240 10 10 0.482627 3 24576 12792 3 24576 12792 1 8192 4317 0 0 0
1709861991002758 3 0 0 3 3 3 0 0 0 0 0 0 13 3 3 0 18 5 2 0 0 0 52415 482556 0 482158 401862 4307 54245007 10740 6668391 6668391 0 667333 319333 1.000000 10 10 81920 43170 5 10 0.498312 3 24576 12792 3 24576 12792 1 8192 4317 0 0 0
1709862095359281 4 0 0 4 4 4 0 0 0 0 0 0 12 4 3 0 18 5 2 0 0 0 303123 483047 0 482158 408667 10035 158331483 16297 6668391 6668391 0 800800 319333 1.000000 10 10 81920 42775 13 13 0.487179 4 32768 17206 3 24576 12792 1 8192 4414 0 0 0
1709862100569408 16 0 0 16 16 16 0 0 0 0 0 0 0 16 15 0 22 21 6 0 0 0 1323737 822830 0 821495 943642 11072 161643347 17907 14201492 14201492 0 2936268 994323 1.746278 10 10 81920 42490 12 13 0.480684 16 131072 70117 15 122880 65878 1 8192 5828 0 0 0
1709862107673827 17 0 1 16 17 17 0 0 0 0 0 0 0 16 16 1 36 36 20 0 0 0 1331242 1962590 0 1960177 1580772 11839 166939421 21818 40956628 38729235 0 4804800 3136344 2.299226 10 10 81920 42793 8 14 0.510863 17 139264 74737 16 131072 70117 1 8192 5828 0 0 0
1709862113129698 17 0 1 16 17 17 0 0 0 0 0 0 0 16 16 1 39 39 23 0 0 0 1332888 2203295 0 2200569 1640598 12024 172092048 22793 45870888 44207177 0 5205199 3605502 2.376161 10 10 81920 42864 9 14 0.508383 17 139264 74737 16 131072 70117 1 8192 5828 0 0 0
1709862122582326 17 0 1 16 17 17 0 0 0 0 0 0 0 16 16 0 42 42 26 0 0 0 1334626 2443962 0 2440834 1700451 15591 181257448 23848 49795404 49795404 0 5605600 4078930 2.444270 10 10 81920 42917 12 14 0.509532 17 139264 74737 16 131072 70117 1 8192 5828 0 0 0
1709862152701172 18 0 2 16 18 18 0 0 0 0 0 0 0 16 16 0 42 42 26 0 0 0 1334632 2444104 0 2440834 1716958 15955 211356753 26133 49795404 49795404 0 5605600 4078930 2.444174 10 10 81920 42932 11 14 0.512784 18 147456 79520 16 131072 70117 1 8192 5828 0 0 0
1709862717717332 16 0 0 16 16 18 2 0 2 0 0 0 0 16 16 1 42 42 26 0 0 0 1334717 2447165 0 2440834 1725591 52269 776273459 56179 666343753 49795404 0 5605600 4078930 2.442141 10 10 81920 42932 11 14 0.512821 16 131072 70117 16 131072 70117 1 8192 5828 0 0 0
1709862723946193 16 0 0 16 16 18 2 0 2 0 0 0 0 16 16 1 46 46 30 0 0 0 1336489 3049749 0 3043063 1805494 52505 781816306 57722 1294657089 1293031418 0 6139468 24084727 6.571472 205 205 1679360 879712 1875 192 0.508273 16 131072 70117 16 131072 70117 1 8192 5828 0 0 0
1709862730805316 16 0 0 16 16 18 2 0 2 0 0 0 0 16 16 0 48 48 32 0 0 0 1337445 3208784 0 3201897 1845476 52654 788494491 58304 1296172549 1296172549 0 6406402 24365008 6.454999 195 195 1597440 837186 10 167 0.509465 16 131072 70117 16 131072 70117 1 8192 5828 0 0 0
1709862791043229 16 0 0 16 16 18 2 0 2 0 0 0 0 16 16 1 48 48 32 0 0 0 1337451 3209125 0 3201897 1845849 55874 848705507 61183 1985912883 1296172549 0 6406402 24365008 6.454506 190 190 1556480 815890 9 153 0.512813 16 131072 70117 16 131072 70117 1 8192 5828 0 0 0
1709862796545988 16 0 0 16 16 18 2 0 2 0 0 0 0 16 16 1 51 51 35 0 0 0 1338941 3578763 0 3571233 1905682 56059 853775852 62426 1990747175 1989119932 0 6806803 34519521 8.014279 272 272 2228224 1166920 9 227 0.508953 16 131072 70117 16 131072 70117 1 8192 5828 0 0 0
