# timestamp workers_connected workers_init workers_idle workers_busy workers_able workers_joined workers_removed workers_released workers_idled_out workers_blocked workers_fast_aborted workers_lost tasks_waiting tasks_on_workers tasks_running tasks_with_results tasks_submitted tasks_dispatched tasks_done tasks_failed tasks_cancelled tasks_exhausted_attempts time_send time_receive time_send_good time_receive_good time_status_msgs time_internal time_polling time_application time_execute time_execute_good time_execute_exhaustion bytes_sent bytes_received bandwidth capacity_tasks capacity_cores capacity_memory capacity_disk capacity_instantaneous capacity_weighted manager_load total_cores total_memory total_disk committed_cores committed_memory committed_disk max_cores max_memory max_disk min_cores min_memory min_disk
1709833044860195 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0.000000 0 0 0 0 0 0 0 0 0 0 0 0
1709833187240625 1 0 0 1 1 1 0 0 0 0 0 0 15 1 0 0 16 0 0 0 0 0 19710 657 0 0 28976 8825 142300284 14581 0 0 0 133467 0 1.000000 10 10 5120 10240 10 10 0.487179 1 8192 4322 0 0 0 1 8192 4322 0 0 0
1709833192692634 11 0 1 10 10 11 0 0 0 0 0 0 6 10 10 1 21 15 5 0 0 0 462987 181487 0 180437 504093 9426 146658908 16506 14335848 13083297 0 2002001 702937 1.000000 37 37 303104 159914 50 18 0.493995 10 81920 43151 10 81920 43151 1 8192 4364 0 0 0
1709833198683715 15 0 0 15 15 15 0 0 0 0 0 0 1 15 15 1 29 28 13 0 0 0 1239525 512170 0 510513 798961 10139 151178946 18932 33389295 27208970 0 3737070 2117790 3.187558 24 24 196608 103728 12 23 0.491298 15 122880 73890 15 122880 73890 1 8192 8652 0 0 0
1709833204049334 16 0 0 16 16 16 0 0 0 0 0 0 0 16 16 1 38 38 22 0 0 0 1511549 2322373 0 2320028 1299073 10665 154008704 21547 57181233 56212511 0 5071738 3562207 2.147663 12 12 98304 57482 5 22 0.499087 16 131072 79157 16 131072 79157 1 8192 8652 0 0 0
1709833211650081 16 0 0 16 16 16 0 0 0 0 0 0 0 16 16 1 46 46 30 0 0 0 1515152 3625179 0 3622157 1630737 11076 159918825 23933 75377931 72679553 0 6139472 4937172 2.055025 10 10 81920 47757 3 22 0.502416 16 131072 79157 16 131072 79157 1 8192 8652 0 0 0
1709833217436217 16 0 0 16 16 16 0 0 0 0 0 0 0 16 16 0 48 48 32 0 0 0 1516129 4090274 0 4087076 1729904 11206 165210654 24518 78568379 78568379 0 6406406 5334383 1.997161 10 10 81920 47652 4 22 0.505952 16 131072 79157 16 131072 79157 1 8192 8652 0 0 0
1709833227239683 16 0 0 16 16 16 0 0 0 0 0 0 0 16 15 0 49 49 33 0 0 0 1516627 4225431 0 4222110 1759422 13684 174845793 25038 88353817 88353817 0 6539873 5701122 2.033055 10 10 81920 47803 33 23 0.509247 16 131072 79157 16 131072 79157 1 8192 8652 0 0 0
1709833440519325 16 0 0 16 16 16 0 0 0 0 0 0 0 16 16 1 49 49 33 0 0 0 1516658 4226585 0 4222110 1762357 25020 388090164 38416 335060000 88353817 0 6539873 5701122 2.032636 10 10 81920 47803 33 27 0.512821 16 131072 79157 16 131072 79157 1 8192 8652 0 0 0
1709833447266098 16 0 0 16 16 16 0 0 0 0 0 0 0 16 16 0 51 51 35 0 0 0 1517720 4297045 0 4292339 1774339 25208 394757904 39531 336653779 336653779 0 6806807 15666452 3.685819 32 32 262144 152536 2822 169 0.511169 16 131072 79157 16 131072 79157 1 8192 8652 0 0 0
1709833721259028 16 0 0 16 16 16 0 0 0 0 0 0 0 16 16 1 51 51 35 0 0 0 1517763 4298436 0 4292339 1777621 39536 668700746 55352 865039511 336653779 0 6806807 15666452 3.684910 32 32 262144 152129 39 137 0.512821 16 131072 79157 16 131072 79157 1 8192 8652 0 0 0
1709833726467030 16 0 0 16 16 16 0 0 0 0 0 0 0 16 16 0 52 52 36 0 0 0 1518238 4442141 0 4435942 1792325 39636 673763385 56146 865039511 865039511 0 6940274 25472854 5.186175 32 32 262144 152129 39 129 0.511601 16 131072 79157 16 131072 79157 1 8192 8652 0 0 0
1709833882385890 16 0 0 16 16 16 0 0 0 0 0 0 0 16 16 1 52 52 36 0 0 0 1518258 4442803 0 4435942 1793867 45967 829643347 63992 1539996097 865039511 0 6940274 25472854 5.185582 81 81 663552 384105 2453 462 0.512821 16 131072 79157 16 131072 79157 1 8192 8652 0 0 0
1709833887435829 16 0 0 16 16 16 0 0 0 0 0 0 0 16 16 1 56 56 40 0 0 0 1520624 4822504 0 4815068 1882340 48729 834218380 65595 1544220366 1542607871 0 7474142 35780308 6.503204 136 136 1114112 650408 6 624 0.508209 16 131072 79157 16 131072 79157 1 8192 8652 0 0 0
1709833892641035 16 0 0 16 16 16 0 0 0 0 0 0 0 16 16 0 57 57 41 0 0 0 1521150 4933131 0 4925596 1904702 48849 839311598 65952 1544220366 1544220366 0 7607609 36226425 6.476847 134 134 1097728 642467 6 565 0.509571 16 131072 79157 16 131072 79157 1 8192 8652 0 0 0
1709833955949900 16 0 0 16 16 16 0 0 0 0 0 0 0 16 16 1 57 57 41 0 0 0 1521157 4933462 0 4925596 1905819 52932 902606082 68719 2311332718 1544220366 0 7607609 36226425 6.476508 131 131 1073152 629593 8 512 0.512820 16 131072 79157 16 131072 79157 1 8192 8652 0 0 0
1709833961041749 16 0 0 16 16 16 0 0 0 0 0 0 0 16 16 0 58 58 42 0 0 0 1521536 4995296 0 4987326 1911905 53010 907634885 69209 2311332718 2311332718 0 7741076 46101807 7.879377 131 131 1073152 629593 8 464 0.511601 16 131072 79157 16 131072 79157 1 8192 8652 0 0 0
1709834010912302 16 0 0 16 16 16 0 0 0 0 0 0 0 16 16 1 58 58 42 0 0 0 1521543 4995549 0 4987326 1912214 56182 957491205 73620 3131026943 2311332718 0 7741076 46101807 7.879062 195 195 1597440 934933 8410 1240 0.512813 16 131072 79157 16 131072 79157 1 8192 8652 0 0 0
1709834017196918 16 0 0 16 16 16 0 0 0 0 0 0 0 16 16 1 60 60 44 0 0 0 1522670 8487700 0 8479275 1924071 56338 960269734 74434 3133702478 3132292207 0 8008010 56116798 6.109083 167 167 1368064 799014 119 1849 0.509760 16 131072 79157 16 131072 79157 1 8192 8652 0 0 0
