# timestamp workers_connected workers_init workers_idle workers_busy workers_able workers_joined workers_removed workers_released workers_idled_out workers_blocked workers_fast_aborted workers_lost tasks_waiting tasks_on_workers tasks_running tasks_with_results tasks_submitted tasks_dispatched tasks_done tasks_failed tasks_cancelled tasks_exhausted_attempts time_send time_receive time_send_good time_receive_good time_status_msgs time_internal time_polling time_application time_execute time_execute_good time_execute_exhaustion bytes_sent bytes_received bandwidth capacity_tasks capacity_cores capacity_memory capacity_disk capacity_instantaneous capacity_weighted manager_load total_cores total_memory total_disk committed_cores committed_memory committed_disk max_cores max_memory max_disk min_cores min_memory min_disk
1709882047271827 0 0 0 0 0 0 0 0 0 0 0 0 32 0 0 0 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0.000000 0 0 0 0 0 0 0 0 0 0 0 0
1709882073949022 1 0 0 1 1 1 0 0 0 0 0 0 31 1 0 0 32 0 0 0 0 0 5835 168 0 0 2081 3154 26662966 9618 0 0 0 133467 0 1.000000 10 10 5120 10240 10 10 0.479134 1 8192 5333 0 0 0 1 8192 5333 0 0 0
1709882079767150 2 0 0 2 2 2 0 0 0 0 0 0 30 2 1 0 32 1 0 0 0 0 22089 225 0 0 155376 3356 32157809 9714 0 0 0 266934 0 1.000000 10 10 5120 10240 10 10 0.483067 2 16384 9546 1 8192 5333 1 8192 5333 0 0 0
1709882136786658 3 0 0 3 3 3 0 0 0 0 0 0 29 3 2 0 32 2 0 0 0 0 293187 696 0 0 197342 8142 89009033 12936 0 0 0 400401 0 1.000000 10 10 5120 10240 10 10 0.487160 3 24576 13794 2 16384 9546 1 8192 5333 0 0 0
1709882179057134 4 0 0 4 4 4 0 0 0 0 0 0 28 4 3 0 32 3 0 0 0 0 413703 1092 0 0 239270 11256 131112223 14150 0 0 0 533868 0 1.000000 10 10 5120 10240 10 10 0.487101 4 32768 18118 3 24576 13794 1 8192 5333 0 0 0
1709882184166045 7 0 0 7 7 7 0 0 0 0 0 0 25 7 7 1 37 12 5 0 0 0 634729 412868 0 411359 468119 11929 135335554 18031 10575098 9120315 0 1601604 741925 2.133419 10 10 81920 43280 11 11 0.497589 7 57344 31020 7 57344 31020 1 8192 5333 0 0 0
1709882191160945 7 0 0 7 7 7 0 0 0 0 0 0 25 7 7 1 44 19 12 0 0 0 712475 972166 0 970145 607664 12328 141551140 20371 24023303 22028612 0 2535869 1889664 2.505292 11 11 90112 47440 9 13 0.505668 7 57344 31020 7 57344 31020 1 8192 5333 0 0 0
1709882197026341 7 0 0 7 7 7 0 0 0 0 0 0 25 7 7 0 46 21 14 0 0 0 769921 1131207 0 1128982 647459 12539 147179053 21093 25505972 25505972 0 2802803 2180936 2.500023 11 11 90112 47314 12 13 0.509105 7 57344 31020 7 57344 31020 1 8192 5333 0 0 0
1709882202070669 12 0 0 12 12 12 0 0 0 0 0 0 20 12 12 0 46 26 14 0 0 0 1305005 1131394 0 1128982 762437 13280 151571985 21247 25505972 25505972 0 3470138 2180936 2.211988 10 10 81920 42968 9 13 0.486489 12 98304 56860 12 98304 56860 1 8192 7865 0 0 0
1709882207077128 25 0 0 25 25 25 0 0 0 0 0 0 7 25 24 1 60 53 28 0 0 0 2630646 1996342 0 1992654 1571118 14599 153552865 26067 55416618 53590849 0 7073741 4645502 2.415468 12 12 98304 55254 10 21 0.478707 25 204800 113373 25 204800 113373 1 8192 7865 0 0 0
1709882212091074 30 0 0 30 30 30 0 0 0 0 0 0 2 30 29 1 75 73 43 0 0 0 3458623 3259529 0 3254649 2304501 15734 155730009 29985 90487259 87205789 0 9743079 7408044 2.434685 11 11 90112 51114 54 25 0.491306 30 245760 136682 30 245760 136682 1 8192 7865 0 0 0
1709882218152440 32 0 0 32 32 32 0 0 0 0 0 0 0 32 32 1 85 85 53 0 0 0 3935874 4551872 0 4546142 2809651 16371 159472113 32583 109339645 107181411 0 11344683 8881877 2.272635 10 10 81920 47141 2 21 0.496130 32 262144 147040 32 262144 147040 1 8192 7865 0 0 0
1709882225473386 32 0 0 32 32 32 0 0 0 0 0 0 0 32 32 1 89 89 57 0 0 0 3937839 5464918 0 5458686 3021529 16739 165664332 33879 118664049 116425487 0 11878541 9477825 2.166069 10 10 81920 47344 3 22 0.503618 32 262144 147040 32 262144 147040 1 8192 7865 0 0 0
