# timestamp workers_connected workers_init workers_idle workers_busy workers_able workers_joined workers_removed workers_released workers_idled_out workers_blocked workers_fast_aborted workers_lost tasks_waiting tasks_on_workers tasks_running tasks_with_results tasks_submitted tasks_dispatched tasks_done tasks_failed tasks_cancelled tasks_exhausted_attempts time_send time_receive time_send_good time_receive_good time_status_msgs time_internal time_polling time_application time_execute time_execute_good time_execute_exhaustion bytes_sent bytes_received bandwidth capacity_tasks capacity_cores capacity_memory capacity_disk capacity_instantaneous capacity_weighted manager_load total_cores total_memory total_disk committed_cores committed_memory committed_disk max_cores max_memory max_disk min_cores min_memory min_disk
1709833035313362 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0.000000 0 0 0 0 0 0 0 0 0 0 0 0
1709833190445587 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 4 0 0 0 0 0 17567 401 0 0 145922 8265 154951690 12672 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0.512820 0 0 0 0 0 0 0 0 0 0 0 0
1709833196395187 4 0 0 4 4 4 0 0 0 0 0 0 0 4 3 0 6 5 2 0 0 0 101928 308561 0 307970 555484 8645 160021722 13804 4404003 4404003 0 800802 268183 1.000000 10 10 81920 48800 4 10 0.483298 4 32768 21919 3 24576 14643 1 8192 7276 0 0 0
1709833279805353 4 0 0 4 4 4 0 0 0 0 0 0 0 4 4 1 6 6 2 0 0 0 177820 308786 0 307970 555735 14718 243339840 17070 86994525 4404003 0 800802 268183 1.000000 10 10 81920 47990 26 13 0.512816 4 32768 21919 4 32768 21919 1 8192 7276 0 0 0
1709833285162994 4 0 0 4 4 4 0 0 0 0 0 0 0 4 4 0 7 7 3 0 0 0 178291 607385 0 606499 645695 14790 248389428 17991 86994525 86994525 0 934269 422798 1.000000 10 10 81920 47990 26 15 0.511599 4 32768 21919 4 32768 21919 1 8192 7276 0 0 0
1709833291929094 4 0 0 4 4 4 0 0 0 0 0 0 0 4 4 0 8 8 4 0 0 0 178692 909543 0 908573 728696 14876 254767741 20019 92445084 92445084 0 1067736 583159 1.446761 46 46 376832 258735 69 21 0.511064 4 32768 21919 4 32768 21919 1 8192 7276 0 0 0
1709833301841364 4 0 0 4 4 4 0 0 0 0 0 0 0 4 4 1 8 8 4 0 0 0 178693 909566 0 908573 728722 14945 264601571 20216 107289667 92445084 0 1067736 583159 1.446729 34 34 278528 205275 7 21 0.512123 4 32768 21919 4 32768 21919 1 8192 7276 0 0 0
1709833307860371 4 0 0 4 4 4 0 0 0 0 0 0 0 4 4 1 9 9 5 0 0 0 179071 1283389 0 1282333 811714 15032 270161942 20544 112068398 107289667 0 1201203 919939 1.383203 34 34 278528 205275 7 21 0.511129 4 32768 21919 4 32768 21919 1 8192 7276 0 0 0
1709833313474523 4 0 0 4 4 4 0 0 0 0 0 0 0 4 4 1 10 10 6 0 0 0 179559 1584507 0 1583365 896831 15148 275385790 20976 116857644 112068398 0 1334670 1092169 1.311977 29 29 237568 182271 16 21 0.511645 4 32768 21919 4 32768 21919 1 8192 7276 0 0 0
1709833963303301 4 0 0 4 4 4 0 0 0 0 0 0 0 4 4 1 11 11 7 0 0 0 180036 1889623 0 1886700 989656 47759 924820833 58680 885962897 116857644 0 1468137 1256363 1.255417 21 21 172032 137934 6 21 0.512821 4 32768 21919 4 32768 21919 1 8192 7276 0 0 0
