# timestamp workers_connected workers_init workers_idle workers_busy workers_able workers_joined workers_removed workers_released workers_idled_out workers_blocked workers_fast_aborted workers_lost tasks_waiting tasks_on_workers tasks_running tasks_with_results tasks_submitted tasks_dispatched tasks_done tasks_failed tasks_cancelled tasks_exhausted_attempts time_send time_receive time_send_good time_receive_good time_status_msgs time_internal time_polling time_application time_execute time_execute_good time_execute_exhaustion bytes_sent bytes_received bandwidth capacity_tasks capacity_cores capacity_memory capacity_disk capacity_instantaneous capacity_weighted manager_load total_cores total_memory total_disk committed_cores committed_memory committed_disk max_cores max_memory max_disk min_cores min_memory min_disk
1709319252826496 0 0 0 0 0 0 0 0 0 0 0 0 64 0 0 0 64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0.000000 0 0 0 0 0 0 0 0 0 0 0 0
1709319393311979 1 0 0 1 1 1 0 0 0 0 0 0 63 1 0 0 64 0 0 0 0 0 21292 1479 0 0 2342 15064 140431284 22755 0 0 0 133467 0 1.000000 10 10 5120 10240 10 10 0.487179 1 4096 1497 0 0 0 1 4096 1497 0 0 0
1709319399678814 3 0 0 3 3 3 0 0 0 0 0 0 61 3 3 1 67 6 3 0 0 0 87083 22927 0 20866 13320 16616 146693530 24760 12919951 11095028 0 407406 585879 1.000000 506 506 2072576 964436 496 59 0.501044 3 9216 5612 3 9216 5612 1 4096 2315 0 0 0
1709319406454552 3 0 0 3 3 3 0 0 0 0 0 0 61 3 3 1 72 11 8 0 0 0 118582 43345 0 40757 34204 17325 153394797 27038 26251793 23731667 0 419079 1308176 1.000000 125 125 402286 227161 334 106 0.506645 3 9216 5612 3 9216 5612 1 4096 2315 0 0 0
1709319411472322 3 0 0 3 3 3 0 0 0 0 0 0 61 3 3 0 73 12 9 0 0 0 129443 44102 0 41414 34817 17517 158399973 27368 26251793 26251793 0 421414 1432927 1.000000 116 116 341504 210555 73 104 0.508883 3 9216 5612 3 9216 5612 1 4096 2315 0 0 0
1709319417672066 6 0 0 6 6 6 0 0 0 0 0 0 58 6 6 1 74 16 10 0 0 0 309807 133098 0 130014 161958 19196 164176372 28196 29906119 27686088 0 824150 1549055 1.000000 94 94 256683 170464 35 98 0.497090 6 18432 11060 6 18432 11060 1 4096 2315 0 0 0
1709319423178166 8 0 0 8 8 8 0 0 0 0 0 0 56 8 7 0 75 18 11 0 0 0 495464 243213 0 239808 237519 22970 169317442 29070 29906119 29906119 0 1093417 1771245 1.000000 58 58 166298 104719 8 90 0.482460 8 26624 13991 7 22528 12738 1 4096 2315 0 0 0
1709319429330984 8 0 0 8 8 8 0 0 0 0 0 0 56 8 8 1 76 20 12 0 0 0 551307 263388 0 259811 243327 23405 175378291 29463 42128693 33181467 0 1095752 1910494 1.000000 46 46 137030 82754 13 84 0.500278 8 26624 13991 8 26624 13991 1 4096 2315 0 0 0
1709319434928211 9 0 0 9 9 9 0 0 0 0 0 0 55 9 9 1 78 23 14 0 0 0 655453 352897 0 348976 416512 26542 180617709 30208 50494170 46817324 0 1233887 2316846 3.358202 51 51 164133 87331 131 84 0.492394 9 30720 16542 9 30720 16542 1 4096 2551 0 0 0
1709319441375373 9 0 0 9 9 9 0 0 0 0 0 0 55 9 9 0 80 25 16 0 0 0 711571 438606 0 434299 439200 26967 186903850 30947 57300104 57300104 0 1238557 2578899 3.165260 54 54 176948 90814 124 92 0.504828 9 30720 16542 9 30720 16542 1 4096 2551 0 0 0
1709319449127917 9 0 0 9 9 9 0 0 0 0 0 0 55 9 9 1 83 28 19 0 0 0 780082 1098680 0 1093613 606436 27771 193678564 37197 81432917 78567137 0 1245560 3053870 2.182424 42 42 143360 72644 83 87 0.507312 9 30720 16542 9 30720 16542 1 4096 2551 0 0 0
1709319454542059 9 0 0 9 9 9 0 0 0 0 0 0 55 9 9 0 84 29 20 0 0 0 819564 1393989 0 1388737 680929 28066 198756351 37685 81432917 81432917 0 1247895 3213991 1.922333 35 35 120725 62050 6 80 0.509177 9 30720 16542 9 30720 16542 1 4096 2551 0 0 0
1709319496778072 10 0 0 10 10 10 0 0 0 0 0 0 54 10 9 0 84 29 20 0 0 0 1102070 1394502 0 1388737 682793 31947 240700074 38778 81432917 81432917 0 1381362 3213991 1.755395 30 30 104448 54353 7 74 0.487166 10 31744 18039 9 30720 16542 1 4096 2551 0 0 0
1709319518693422 15 0 4 11 15 15 0 0 0 0 0 0 53 11 10 0 84 30 20 0 0 0 1364116 1394899 0 1388737 953738 35886 262075594 40499 81432917 81432917 0 1514829 3213991 1.634552 30 30 104448 54353 7 71 0.486816 15 36864 26276 10 31744 18039 1 4096 2551 0 0 0
