# timestamp workers_connected workers_init workers_idle workers_busy workers_able workers_joined workers_removed workers_released workers_idled_out workers_blocked workers_fast_aborted workers_lost tasks_waiting tasks_on_workers tasks_running tasks_with_results tasks_submitted tasks_dispatched tasks_done tasks_failed tasks_cancelled tasks_exhausted_attempts time_send time_receive time_send_good time_receive_good time_status_msgs time_internal time_polling time_application time_execute time_execute_good time_execute_exhaustion bytes_sent bytes_received bandwidth capacity_tasks capacity_cores capacity_memory capacity_disk capacity_instantaneous capacity_weighted manager_load total_cores total_memory total_disk committed_cores committed_memory committed_disk max_cores max_memory max_disk min_cores min_memory min_disk
1709796794900547 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0.000000 0 0 0 0 0 0 0 0 0 0 0 0
1709797028748403 1 0 0 1 1 1 0 0 0 0 0 0 1 1 0 0 2 0 0 0 0 0 28666 722 0 0 12758 11580 233775393 16932 0 0 0 133465 0 1.000000 10 10 5120 10240 10 10 0.487179 1 8192 5630 0 0 0 1 8192 5630 0 0 0
1709797035112855 1 0 0 1 1 1 0 0 0 0 0 0 1 1 1 1 5 4 3 0 0 0 45133 69852 0 68903 30404 14026 240032124 18938 6179016 4781251 0 533866 431914 1.000000 31 31 253952 174530 31 13 0.503451 1 8192 5630 1 8192 5630 1 8192 5630 0 0 0
1709797040170269 1 0 0 1 1 1 0 0 0 0 0 0 1 1 1 0 6 5 4 0 0 0 50851 93341 0 92317 36416 14121 245059700 19259 6179016 6179016 0 667327 560533 1.000000 31 31 253952 174530 31 15 0.507478 1 8192 5630 1 8192 5630 1 8192 5630 0 0 0
1709797693054388 1 0 0 1 1 1 0 0 0 0 0 0 1 1 1 1 6 5 4 0 0 0 543061 95381 0 92317 37915 52434 897360862 60695 664066993 6179016 0 667327 560533 1.000000 30 30 245760 168900 27 26 0.512821 1 8192 5630 1 8192 5630 1 8192 5630 0 0 0
1709797699068142 1 0 0 1 1 1 0 0 0 0 0 0 1 1 1 0 7 6 5 0 0 0 550355 1073871 0 1070708 44112 54918 902385234 61416 664066993 664066993 0 800794 10367165 6.557336 544 544 4456448 3062720 653 59 0.511601 1 8192 5630 1 8192 5630 1 8192 5630 0 0 0
1709798859018858 1 0 0 1 1 1 0 0 0 0 0 0 1 1 1 0 7 6 5 0 0 0 1455230 1077191 0 1070708 132568 128170 2061204237 120219 664066993 664066993 0 800794 10367165 4.205697 544 544 4456448 3062720 653 446 0.512821 1 8192 5630 1 8192 5630 1 8192 5630 0 0 0
1709801007182655 1 0 0 1 1 1 0 0 0 0 0 0 1 1 1 1 7 6 5 0 0 0 3126758 1083309 0 1070708 137428 253131 4207432541 237184 3977185609 664066993 0 800794 10367165 2.529792 544 544 4456448 3062720 653 630 0.512821 1 8192 5630 1 8192 5630 1 8192 5630 0 0 0
1709801017124560 1 0 0 1 1 1 0 0 0 0 0 0 1 1 1 0 11 10 9 0 0 0 3139875 1224082 0 1211188 161526 253458 4217199777 239342 3981853883 3981853883 0 1334662 20938004 4.867342 2784 2784 22806528 15673920 27 2060 0.509900 1 8192 5630 1 8192 5630 1 8192 5630 0 0 0
1709803312149662 1 0 0 1 1 1 0 0 0 0 0 0 1 1 1 1 11 10 9 0 0 0 4839896 1231099 0 1211188 166637 388640 6510244909 360262 6281881840 3981853883 0 1334662 20938004 3.498746 2681 2681 21962752 15094030 32 313 0.512821 1 8192 5630 1 8192 5630 1 8192 5630 0 0 0
1709803332828765 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 11 10 10 0 0 0 4839896 1231099 0 21890087 172619 388640 6510244909 360262 6281881840 6281881840 0 1334662 31011060 5.081092 2681 2681 21962752 15094030 32 299 0.512821 1 8192 5630 1 8192 5630 1 8192 5630 0 0 0
1709803338947134 1 0 0 1 1 1 0 0 0 0 0 0 1 1 1 1 15 14 13 0 0 0 4849711 21974488 0 21954256 190619 391506 6516260773 361817 6287802132 6286470762 0 1868530 31440987 1.184245 282 282 2310144 1587660 34 234 0.508418 1 8192 5630 1 8192 5630 1 8192 5630 0 0 0
1709804343041000 1 0 0 1 1 1 0 0 0 0 0 0 1 1 1 0 16 15 14 0 0 0 5633872 22000498 0 21977311 199011 447479 7519426391 418486 6287802132 6287802132 0 2001997 31566554 1.158466 281 281 2301952 1582030 25 114 0.512821 1 8192 5630 1 8192 5630 1 8192 5630 0 0 0
1709806273123797 1 0 0 1 1 1 0 0 0 0 0 0 1 1 1 1 16 15 14 0 0 0 7134417 22005915 0 21977311 203241 563041 9447765575 525185 9221924595 6287802132 0 2001997 31566554 1.098596 281 281 2301952 1582030 25 50 0.512821 1 8192 5630 1 8192 5630 1 8192 5630 0 0 0
1709806288052801 1 0 1 0 1 1 0 0 0 0 0 0 1 0 0 0 16 15 15 0 0 0 7134417 22005915 0 36906089 209354 563041 9447765575 525185 9221924595 9221924595 0 2001997 41658538 1.428876 281 281 2301952 1582030 25 49 0.512821 1 8192 5630 1 8192 5630 1 8192 5630 0 0 0
1709806296632862 1 0 0 1 1 1 0 0 0 0 0 0 1 1 1 0 19 18 17 0 0 0 7146679 36986210 0 36957340 221079 565362 9456266477 526511 9225356541 9225356541 0 2402398 41997282 0.959439 247 247 2023424 1390610 34 62 0.510355 1 8192 5630 1 8192 5630 1 8192 5630 0 0 0
1709808351511874 1 0 0 1 1 1 0 0 0 0 0 0 1 1 1 1 19 18 17 0 0 0 8747107 36991804 0 36957340 225793 675451 11509302265 637589 11285238432 9225356541 0 2402398 41997282 0.925751 247 247 2023424 1390610 28 47 0.512821 1 8192 5630 1 8192 5630 1 8192 5630 0 0 0
1709808360131706 1 0 0 1 1 1 0 0 0 0 0 0 1 1 1 0 20 19 18 0 0 0 8752434 40577649 0 40543109 231942 675554 11514329875 638323 11285238432 11285238432 0 2535865 51998725 1.054290 247 247 2023424 1390610 28 47 0.511601 1 8192 5630 1 8192 5630 1 8192 5630 0 0 0
1709808504658700 1 0 0 1 1 1 0 0 0 0 0 0 1 1 1 0 20 19 18 0 0 0 8860587 40578057 0 40543109 5138533 684658 11653823564 646898 11285238432 11285238432 0 2535865 51998725 1.051975 275 275 2252800 1548250 570 123 0.512821 1 8192 5630 1 8192 5630 1 8192 5630 0 0 0
1709808513824702 1 0 0 1 1 1 0 0 0 0 0 0 1 1 1 0 20 19 18 0 0 0 8866219 40578073 0 40543109 10045105 686928 11658074810 647005 11285238432 11285238432 0 2535865 51998725 1.051855 275 275 2252800 1548250 570 168 0.512821 1 8192 5630 1 8192 5630 1 8192 5630 0 0 0
1709808523379075 1 0 0 1 1 1 0 0 0 0 0 0 1 1 1 0 20 19 18 0 0 0 8879350 40578112 0 40543109 10140068 687068 11667520509 647225 11285238432 11285238432 0 2535865 51998725 1.051575 275 275 2252800 1548250 570 189 0.512821 1 8192 5630 1 8192 5630 1 8192 5630 0 0 0
1709809710890538 2 0 0 2 2 2 0 0 0 0 0 0 0 2 1 0 20 19 18 0 0 0 9801613 40581597 0 40543109 10156301 759712 12853946901 714132 11285238432 11285238432 0 2669332 51998725 1.034780 275 275 2252800 1548250 570 447 0.487179 2 16384 10885 1 8192 5630 1 8192 5630 0 0 0
1709811528821016 2 0 0 2 2 2 0 0 0 0 0 0 0 2 2 0 20 20 18 0 0 0 9802589 40586518 0 40543109 10163378 858283 14671670761 805734 11285238432 11285238432 0 2669332 51998725 1.034659 275 275 2252800 1548250 570 552 0.512821 2 16384 10885 2 16384 10885 1 8192 5630 0 0 0
