# timestamp workers_connected workers_init workers_idle workers_busy workers_able workers_joined workers_removed workers_released workers_idled_out workers_blocked workers_fast_aborted workers_lost tasks_waiting tasks_on_workers tasks_running tasks_with_results tasks_submitted tasks_dispatched tasks_done tasks_failed tasks_cancelled tasks_exhausted_attempts time_send time_receive time_send_good time_receive_good time_status_msgs time_internal time_polling time_application time_execute time_execute_good time_execute_exhaustion bytes_sent bytes_received bandwidth capacity_tasks capacity_cores capacity_memory capacity_disk capacity_instantaneous capacity_weighted manager_load total_cores total_memory total_disk committed_cores committed_memory committed_disk max_cores max_memory max_disk min_cores min_memory min_disk
1709919870015219 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0.000000 0 0 0 0 0 0 0 0 0 0 0 0
1709919915059043 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 8 0 0 0 0 0 4458 138 0 0 20315 2120 45014588 7117 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0.508244 0 0 0 0 0 0 0 0 0 0 0 0
1709919924112628 1 0 0 1 1 1 0 0 0 0 0 0 7 1 1 0 9 2 1 0 0 0 16127 3075 0 2841 21303 2309 54051887 7491 3951160 3951160 0 266934 158201 1.000000 10 10 5120 10240 10 10 0.504510 1 8192 5303 1 8192 5303 1 8192 5303 0 0 0
1709920039748615 2 0 0 2 2 2 0 0 0 0 0 0 6 2 1 0 9 2 1 0 0 0 121460 3413 0 2841 34649 8999 169555098 13779 3951160 3951160 0 400401 158201 1.000000 194 194 1589248 1028782 194 38 0.487179 2 16384 10390 1 8192 5303 1 8192 5303 0 0 0
1709920044975724 6 0 0 6 6 6 0 0 0 0 0 0 2 6 6 1 13 11 5 0 0 0 323248 102926 0 102079 159022 9516 174346787 15270 14990118 13543245 0 1468137 675057 1.000000 56 56 458752 304752 99 55 0.498160 6 49152 41644 6 49152 41644 1 8192 14917 0 0 0
1709920050091393 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 1 18 18 10 0 0 0 455206 284242 0 283025 300951 9867 178991517 16877 29008068 27108477 0 2402404 1688901 1.000000 33 33 270336 221834 33 50 0.501117 8 65536 61891 8 65536 61891 1 8192 14917 0 0 0
1709920056380285 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 1 22 22 14 0 0 0 457207 567524 0 565974 372200 12001 184920564 18189 49142994 46889762 0 2936268 2357197 4.926407 25 25 204800 212172 9 52 0.505629 8 65536 61891 8 65536 61891 1 8192 14917 0 0 0
1709920063423038 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 0 24 24 16 0 0 0 458151 764071 0 762363 416178 12156 191742708 18860 50781310 50781310 0 3203202 2710093 4.614021 31 31 253952 268353 11 68 0.508693 8 65536 61891 8 65536 61891 1 8192 14917 0 0 0
1709920970494754 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 1 24 24 16 0 0 0 458346 766953 0 762363 422404 58360 1098689733 64370 979278523 50781310 0 3203202 2710093 4.602434 29 29 237568 262382 9 42 0.512821 8 65536 61891 8 65536 61891 1 8192 14917 0 0 0
1709920977187069 8 0 0 8 8 8 0 0 0 0 0 0 0 8 8 0 25 25 17 0 0 0 458826 2362791 0 2358093 444218 58439 1103784944 64889 979278523 979278523 0 3336669 12585475 5.381503 29 29 237568 262382 9 40 0.511601 8 65536 61891 8 65536 61891 1 8192 14917 0 0 0
