# timestamp workers_connected workers_init workers_idle workers_busy workers_able workers_joined workers_removed workers_released workers_idled_out workers_blocked workers_fast_aborted workers_lost tasks_waiting tasks_on_workers tasks_running tasks_with_results tasks_submitted tasks_dispatched tasks_done tasks_failed tasks_cancelled tasks_exhausted_attempts time_send time_receive time_send_good time_receive_good time_status_msgs time_internal time_polling time_application time_execute time_execute_good time_execute_exhaustion bytes_sent bytes_received bandwidth capacity_tasks capacity_cores capacity_memory capacity_disk capacity_instantaneous capacity_weighted manager_load total_cores total_memory total_disk committed_cores committed_memory committed_disk max_cores max_memory max_disk min_cores min_memory min_disk
1709286764282105 0 0 0 0 0 0 0 0 0 0 0 0 64 0 0 0 64 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0.000000 0 0 0 0 0 0 0 0 0 0 0 0
1709286793024508 1 0 0 1 1 1 0 0 0 0 0 0 63 1 0 0 64 0 0 0 0 0 6208 246 0 0 202143 3785 28525717 13498 0 0 0 133467 0 1.000000 10 10 5120 10240 10 10 0.480626 1 4096 1878 0 0 0 1 4096 1878 0 0 0
1709286911450687 2 0 0 2 2 2 0 0 0 0 0 0 62 2 1 0 64 1 0 0 0 0 100095 1146 0 0 233012 15798 146804544 20019 0 0 0 266934 0 1.000000 10 10 5120 10240 10 10 0.487179 2 8192 2999 1 4096 1878 1 4096 1878 0 0 0
1709286916453498 6 0 0 6 6 6 0 0 0 0 0 0 58 6 6 1 68 10 4 0 0 0 284059 327140 0 325466 431345 22339 151074800 21706 9756826 7038745 0 810134 591794 1.000000 11 11 45056 17465 12 12 0.495371 6 30384 34942 6 30384 34942 1 7000 14777 0 0 0
1709286921657573 9 0 0 9 9 9 0 0 0 0 0 0 55 9 9 1 79 24 15 0 0 0 536352 1175676 0 1172394 747758 25839 154846138 25968 33506170 31218764 0 1236220 2347589 1.996338 15 15 86332 128352 15 18 0.500096 9 51384 71567 9 51384 71567 1 7000 14777 0 0 0
1709286927268182 12 0 0 12 12 12 0 0 0 0 0 0 52 12 12 1 85 33 21 0 0 0 760473 1895523 0 1891540 1478230 27031 158732412 28012 48162108 43757175 0 1650631 3305312 1.779504 14 14 83771 132827 15 21 0.488274 12 67768 65329213 12 67768 65329213 1 7000 32614383 0 0 0
1709286932656190 12 0 0 12 12 12 0 0 0 0 0 0 52 12 12 1 87 35 23 0 0 0 822977 2445350 0 2440975 1639507 27406 163345244 28680 56850540 51931893 0 1655301 3634923 1.543649 12 12 70862 17908918 8 21 0.501677 12 67768 65329213 12 67768 65329213 1 7000 32614383 0 0 0
1709286938148612 12 0 0 12 12 12 0 0 0 0 0 0 52 12 12 1 88 36 24 0 0 0 877125 2708918 0 2704394 1705942 27657 168452676 29098 61934778 56850540 0 1657636 3761487 1.441165 10 10 59155 28455391 4 21 0.506697 12 67768 65329213 12 67768 65329213 1 7000 32614383 0 0 0
1709286943538649 12 0 0 12 12 12 0 0 0 0 0 0 52 12 12 0 89 37 25 0 0 0 929008 2973442 0 2968721 1772329 27881 173525054 29544 61934778 61934778 0 1659971 3911250 1.361486 10 10 58397 27284945 11 21 0.508906 12 67768 65329213 12 67768 65329213 1 7000 32614383 0 0 0
1709286949154338 12 0 0 12 12 12 0 0 0 0 0 0 52 12 12 0 90 38 26 0 0 0 982012 3239006 0 3234106 1838515 30850 178751978 29988 68089793 68089793 0 1662306 4088746 1.299362 10 10 57700 26208135 13 21 0.509747 12 67768 65329213 12 67768 65329213 1 7000 32614383 0 0 0
1709286957172601 12 0 0 12 12 12 0 0 0 0 0 0 52 12 12 0 91 39 27 0 0 0 1063531 3504833 0 3499737 1904943 31316 186352270 33285 74677595 74677595 0 1664641 4274611 1.239856 11 11 62761 27735572 16 21 0.510499 12 67768 65329213 12 67768 65329213 1 7000 32614383 0 0 0
