# timestamp workers_connected workers_init workers_idle workers_busy workers_able workers_joined workers_removed workers_released workers_idled_out workers_blocked workers_fast_aborted workers_lost tasks_waiting tasks_on_workers tasks_running tasks_with_results tasks_submitted tasks_dispatched tasks_done tasks_failed tasks_cancelled tasks_exhausted_attempts time_send time_receive time_send_good time_receive_good time_status_msgs time_internal time_polling time_application time_execute time_execute_good time_execute_exhaustion bytes_sent bytes_received bandwidth capacity_tasks capacity_cores capacity_memory capacity_disk capacity_instantaneous capacity_weighted manager_load total_cores total_memory total_disk committed_cores committed_memory committed_disk max_cores max_memory max_disk min_cores min_memory min_disk
1709782374838024 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.000000 10 10 5120 10240 10 10 0.000000 0 0 0 0 0 0 0 0 0 0 0 0
1709782381822045 1 0 0 1 1 1 0 0 0 0 0 0 15 1 0 0 16 0 0 0 0 0 5820 61 0 0 1529 2166 6969517 8527 0 0 0 133467 0 1.000000 10 10 5120 10240 10 10 0.424571 1 8192 5154 0 0 0 1 8192 5154 0 0 0
1709782389573586 1 0 0 1 1 1 0 0 0 0 0 0 15 1 1 0 17 2 1 0 0 0 17743 895 0 739 2247 2311 14709073 8940 2732134 2732134 0 266934 135503 1.000000 10 10 5120 10240 10 10 0.485833 1 8192 5154 1 8192 5154 1 8192 5154 0 0 0
1709782413185707 2 0 0 2 2 2 0 0 0 0 0 0 14 2 1 0 17 2 1 0 0 0 50453 1020 0 739 15385 2651 38273698 9468 2732134 2732134 0 400399 135503 1.000000 379 379 3104768 1953366 379 29 0.486541 2 16384 13343 1 8192 5154 1 8192 8189 0 0 0
1709782421697014 2 0 0 2 2 2 0 0 0 0 0 0 14 2 2 1 17 3 1 0 0 0 66006 1057 0 739 15421 2750 46762969 9697 11219276 2732134 0 400399 135503 1.000000 379 379 3104768 1953366 379 47 0.503400 2 16384 13343 2 16384 13343 1 8192 8189 0 0 0
1709782426765994 2 0 0 2 2 2 0 0 0 0 0 0 14 2 2 0 18 4 2 0 0 0 76807 35311 0 34913 22172 2846 51786312 9966 11219276 11219276 0 533866 261287 1.000000 379 379 3104768 1953366 379 80 0.507455 2 16384 13343 2 16384 13343 1 8192 8189 0 0 0
1709782488566445 3 0 0 3 3 3 0 0 0 0 0 0 13 3 2 0 18 4 2 0 0 0 193982 35612 0 34913 29308 7521 113452191 14399 11219276 11219276 0 667333 261287 1.000000 170 170 1392640 1134155 144 87 0.487177 3 24576 18173 2 16384 13343 1 8192 8189 0 0 0
1709782493586302 14 0 0 14 14 14 0 0 0 0 0 0 2 14 14 1 23 21 7 0 0 0 951645 268121 0 266903 319724 8658 117181890 16527 26680915 25171977 0 2802795 1115537 3.063549 52 52 425984 303836 123 87 0.474057 14 114688 96124 14 114688 96124 1 8192 14888 0 0 0
1709782498718575 18 0 2 16 18 18 0 0 0 0 0 0 0 16 15 0 31 30 15 0 0 0 1387533 597214 0 595320 855724 11551 121014040 19021 49096881 49096881 0 4137465 2356842 3.120526 34 34 278528 266769 95 76 0.483138 18 147456 117759 15 122880 103690 1 8192 14888 0 0 0
1709782505478301 24 0 8 16 24 24 0 0 0 0 0 0 0 16 16 1 38 38 22 0 0 0 1391687 1055267 0 1052681 1709252 12337 126432282 22757 68752380 66719450 0 5071732 3448102 3.320515 25 25 204800 199158 26 64 0.512312 24 196608 145590 16 131072 108514 1 8192 14888 0 0 0
1709782510663093 24 0 8 16 24 24 0 0 0 0 0 0 0 16 16 0 39 39 23 0 0 0 1392153 1143653 0 1140953 1731146 12469 131527376 23092 68752380 68752380 0 5205199 3619303 3.318748 24 24 196608 198742 11 60 0.511378 24 196608 145590 16 131072 108514 1 8192 14888 0 0 0
1709782516871777 24 0 8 16 24 24 0 0 0 0 0 0 0 16 16 1 39 39 23 0 0 0 1392154 1143682 0 1140953 1731195 12535 137728596 23304 95703609 68752380 0 5205199 3619303 3.318709 23 23 188416 197068 11 58 0.512041 24 196608 145590 16 131072 108514 1 8192 14888 0 0 0
1709782524690293 24 0 8 16 24 24 0 0 0 0 0 0 0 16 16 1 43 43 27 0 0 0 1394556 1220781 0 1217649 1759038 12842 145438246 24764 127798841 124926378 0 5739067 4577186 3.761789 39 39 319488 329612 84 101 0.508663 24 196608 145590 16 131072 108514 1 8192 14888 0 0 0
1709782529731114 24 0 8 16 24 24 0 0 0 0 0 0 0 16 16 0 44 44 28 0 0 0 1395307 1234633 0 1231343 1766037 12952 150463644 25168 127798841 127798841 0 5872534 4750902 3.852292 40 40 327680 336715 102 102 0.509772 24 196608 145590 16 131072 108514 1 8192 14888 0 0 0
1709783000697095 17 0 1 16 17 25 8 0 8 0 0 0 0 16 16 0 44 44 28 0 0 0 1395393 1237615 0 1231343 1931248 38690 621209528 49852 127798841 127798841 0 5872534 4750902 3.847804 40 40 327680 335462 72 93 0.512821 17 139264 113285 16 131072 108514 1 8192 14888 0 0 0
1709783185672388 18 0 2 16 18 26 8 0 8 0 0 0 0 16 16 0 44 44 28 0 0 0 1395422 1238806 0 1231343 1946693 49716 806146310 60003 127798841 127798841 0 5872534 4750902 3.846022 40 40 327680 335462 72 91 0.512821 18 147456 119314 16 131072 108514 1 8192 14888 0 0 0
1709783190908012 19 0 3 16 19 27 8 0 8 0 0 0 0 16 16 0 44 44 28 0 0 0 1395425 1238859 0 1231343 1959779 49832 811368430 60088 127798841 127798841 0 5872534 4750902 3.845940 40 40 327680 335462 72 91 0.512821 19 155648 124418 16 131072 108514 1 8192 14888 0 0 0
1709783296172343 19 0 3 16 19 27 8 0 8 0 0 0 0 16 16 1 44 44 28 0 0 0 1395441 1239486 0 1231343 1961435 55080 916614622 64029 930865452 127798841 0 5872534 4750902 3.845001 40 40 327680 335462 72 91 0.512821 19 155648 124418 16 131072 108514 1 8192 14888 0 0 0
1709783301351309 18 0 2 16 18 27 9 0 9 0 0 0 0 16 16 0 45 45 29 0 0 0 1395898 1305038 0 1296766 1968157 55180 921726416 64635 930865452 930865452 0 6006001 14557534 7.260785 40 40 327680 335462 72 91 0.511720 18 147456 119647 16 131072 108514 1 8192 14888 0 0 0
1709783385336669 18 0 2 16 18 27 9 0 9 0 0 0 0 16 16 1 45 45 29 0 0 0 1395914 1305558 0 1296766 1969656 58654 1005695222 71076 1931633978 930865452 0 6006001 14557534 7.259344 280 280 2293760 2311874 8092 872 0.512821 18 147456 119647 16 131072 108514 1 8192 14888 0 0 0
1709783390393908 18 0 2 16 18 27 9 0 9 0 0 0 0 16 16 0 46 46 30 0 0 0 1396559 1322942 0 1314043 1981902 58782 1010725698 71709 1931633978 1931633978 0 6139468 24363936 10.696930 280 280 2293760 2311874 8092 1576 0.511601 18 147456 119647 16 131072 108514 1 8192 14888 0 0 0
1709783416834755 18 0 2 16 18 27 9 0 9 0 0 0 0 16 16 1 46 46 30 0 0 0 1396562 1323086 0 1314043 1982085 61227 1037156049 72305 2854842690 1931633978 0 6139468 24363936 10.696352 575 575 4710400 4688129 29916 4340 0.512736 18 147456 119647 16 131072 108514 1 8192 14888 0 0 0
1709783422526784 18 0 2 16 18 27 9 0 9 0 0 0 0 16 16 1 50 50 34 0 0 0 1399309 1406412 0 1396850 2011088 61502 1042731212 73760 2860340903 2858388253 0 6673334 34855438 14.115774 814 814 6668288 6597890 27 6423 0.508402 18 147456 119647 16 131072 108514 1 8192 14888 0 0 0
1709783431485044 18 0 2 16 18 27 9 0 9 0 0 0 0 16 16 0 54 54 38 0 0 0 1402300 1467331 0 1457035 2040678 61891 1051598223 78039 2864127109 2864127109 0 7207202 35504334 14.194471 779 779 6381568 6273982 34 4980 0.510322 18 147456 119647 16 131072 108514 1 8192 14888 0 0 0
1709783486016017 19 0 3 16 19 28 9 0 9 0 0 0 0 16 16 0 54 54 38 0 0 0 1402309 1467670 0 1457035 2179048 65315 1105985484 79257 2864127109 2864127109 0 7207202 35504334 14.192750 770 770 6307840 6192867 31 4498 0.512820 19 155648 124418 16 131072 108514 1 8192 14888 0 0 0
